proper,HR,RA2000,DEJ2000,Vmag
NA,356,1.21652,30.064229,6.24
NA,354,1.219398,61.706188,6.4
Revati,361,1.228857,7.575354,5.21
NA,360,1.229152,24.583713,4.67
Revati B,362,1.22924,7.578261,6.44
NA,363,1.234695,28.529575,6.33
NA,364,1.235453,16.133479,5.97
NA,366,1.240011,-7.922826,5.14
NA,367,1.245109,6.995136,6.04
NA,368,1.246992,-0.973795,5.7
NA,370,1.253043,-45.531664,4.97
NA,377,1.262704,-68.875927,4.25
NA,365,1.269972,71.743842,5.87
NA,306,1.270176,87.145496,6.2
NA,371,1.271922,33.11472,6.04
NA,369,1.27347,48.082245,6.61
NA,357,1.275281,79.910013,6.27
NA,373,1.276747,-2.500368,5.42
NA,380,1.284364,-66.397854,6.23
NA,372,1.284739,44.901992,6.11
NA,374,1.290033,31.744617,6.36
NA,378,1.296654,3.614466,5.13
NA,376,1.302818,47.419706,6.29
NA,379,1.313058,37.386275,6.44
NA,383,1.324443,27.264059,4.74
NA,385,1.330082,-0.509029,5.87
NA,382,1.334699,58.231611,4.95
NA,375,1.338733,77.570682,6.31
NA,388,1.341058,-11.238999,6.16
NA,387,1.342937,-3.24699,6.26
NA,384,1.35145,64.658131,6.33
NA,389,1.352047,28.738207,5.23
NA,381,1.366383,76.238804,6.37
Adhil,390,1.372337,45.528778,4.87
NA,394,1.375134,-19.081208,6.35
NA,393,1.376342,-0.449673,6.5
NA,392,1.376931,1.726332,6.21
NA,391,1.389264,58.142994,6.36
NA,397,1.390264,20.468967,5.97
NA,400,1.391933,-30.945617,5.84
NA,396,1.393735,34.245887,6.28
NA,395,1.394612,37.714943,5.6
NA,386,1.396337,78.726056,6.07
NA,402,1.40039,-8.183257,3.6
NA,401,1.400705,-8.007416,6.21
NA,404,1.405695,-6.914656,5.92
NA,405,1.411092,-15.660468,6.17
NA,408,1.411329,-41.492549,5.42
NA,411,1.411644,-44.528575,6.26
NA,406,1.413522,-2.84859,6.17
NA,420,1.418136,-64.369478,5.92
NA,407,1.426577,23.511519,6.18
NA,412,1.427009,-14.598796,4.9
NA,398,1.42953,70.979887,6.34
Ruchbah,403,1.430216,60.235283,2.66
NA,399,1.432208,68.130012,4.72
NA,410,1.435765,34.5797,6.34
NA,413,1.437573,19.172346,5.35
NA,409,1.438517,43.457739,5.98
NA,416,1.44093,-0.399034,6.42
NA,414,1.44491,19.240422,5.5
NA,421,1.447657,-13.056512,5.51
NA,419,1.448209,3.535644,6.59
NA,423,1.449471,-32.543182,6.57
NA,415,1.451752,34.377552,6.27
NA,418,1.457409,41.101158,6.42
NA,417,1.460915,45.406687,4.83
NA,425,1.462928,-10.901582,6.13
NA,422,1.463024,40.335803,6.59
NA,429,1.472759,-43.318234,3.41
NA,426,1.473032,7.961353,6.22
NA,431,1.478749,-33.763972,6.59
NA,435,1.491816,-46.756422,6.25
NA,433,1.49337,-21.629339,5.11
NA,432,1.498017,18.355669,6.01
NA,430,1.501695,47.007274,5.27
NA,434,1.503087,6.14382,4.84
NA,436,1.506362,-26.207851,5.92
NA,428,1.51446,66.098087,6.15
NA,427,1.520444,70.264604,5.82
NA,440,1.520851,-49.072702,3.93
Alpherg,437,1.524725,15.345823,3.62
NA,443,1.527502,-45.575712,6.17
NA,441,1.52868,-30.283081,5.79
